**********
Total number of connected components: 41948
**********
Word | # Components | Max Degree :# Vertices w/ Max Degree | Word List w/ Max Degree
abbot                        |    2 |    1 : 2    | ['costello', 'stooge'] 
abbreviation                 |   17 |    3 : 2    | ['acronym', 'short'] 
abbreviations                |    7 |    1 : 7    | ['consultations', 'explanations', 'icl', 'initial', 'mia', 'shorthand', 'zomg'] 
abby                         |    4 |    1 : 4    | ['abbey', 'cadabby', 'giblets', 'someone'] 
abc                          |    6 |    2 : 1    | ['123'] 
abc's                        |    2 |    1 : 2    | ['123', 'alphabet'] 
abcdefgjhijklmnopqrstuvwxyz  |    1 |    1 : 1    | ['star'] 
abdicate                     |    4 |    1 : 4    | ['adjudicate', 'czar', 'surrender', 'throne'] 
abdication                   |    2 |    1 : 2    | ['ides', 'throne'] 
abdomen                      |    3 |    2 : 1    | ['thorax'] 
abdominal                    |    2 |    1 : 2    | ['thorax', 'ulcer'] 
abduct                       |    2 |    1 : 2    | ['probe', 'spaceship'] 
abducted                     |    2 |    1 : 2    | ['confiscate', 'kidnapped'] 
abduction                    |   14 |    4 : 1    | ['alien'] 
abdullah                     |    2 |    1 : 2    | ['king', 'saudi'] 
abe                          |    4 |    1 : 4    | ['dog', 'exodus', 'honest', 'odd'] 
abel                         |    4 |    2 : 1    | ['cain'] 
abercrombie                  |    4 |    1 : 4    | ['areopostale', 'crom', 'fitch', 'zombie'] 
aberdeen                     |    4 |    3 : 1    | ['granite'] 
aberration                   |    2 |    1 : 2    | ['perversion', 'weeaboo'] 
abet                         |    5 |    4 : 1    | ['aid'] 
abetted                      |    2 |    1 : 2    | ['aided', 'helped'] 
abetting                     |    2 |    1 : 2    | ['aiding', 'crimewatch'] 
abeyance                     |    2 |    1 : 2    | ['depend', 'pardon'] 
abhor                        |    5 |    2 : 1    | ['detest'] 
abhorrence                   |    2 |    1 : 2    | ['detest', 'enamored'] 
abhorrent                    |    4 |    1 : 4    | ['foul', 'loathe', 'obscene', 'vile'] 
abide                        |    5 |    1 : 5    | ['dude', 'law', 'lawfull', 'obey', 'withstand'] 
abiding                      |    2 |    1 : 2    | ['acquisce', 'law'] 
abilene                      |    2 |    1 : 2    | ['dodge', 'toulene'] 
abilify                      |    2 |    3 : 2    | ['ability', 'medication'] 
abilities                    |    4 |    3 : 1    | ['skills'] 
ability                      |   31 |    6 : 1    | ['talent'] 
abiotic                      |    2 |    1 : 2    | ['inanimate', 'lifeless'] 
abitter                      |    1 |    1 : 1    | ['half'] 
ablation                     |    2 |    1 : 2    | ['erosion', 'surgery'] 
able                         |   15 |    3 : 1    | ['seaman'] 
ableton                      |    2 |    1 : 2    | ['push', 'sequencer'] 
abloodredsky                 |    2 |    1 : 2    | ['colorado', 'julsport'] 
abnormal                     |   27 |    3 : 1    | ['paranormal'] 
abnormality                  |    2 |    1 : 2    | ['catatonic', 'mutation'] 
abnormally                   |    2 |    1 : 2    | ['claustrophobic', 'crazy'] 
aboad                        |    2 |    1 : 2    | ['pirate', 'travel'] 
aboard                       |    2 |    1 : 2    | ['going', 'incomming'] 
abode                        |   15 |    6 : 1    | ['home'] 
abodes                       |    4 |    1 : 4    | ['base', 'houses', 'humble', 'residences'] 
abolish                      |    3 |    2 : 1    | ['slavery'] 
abolished                    |    4 |    1 : 4    | ['destroyed', 'illegal', 'slavery', 'torture'] 
abolition                    |    4 |    1 : 4    | ['abomination', 'categorical', 'odium', 'unequivocal'] 
abominable                   |    3 |    2 : 1    | ['snowman'] 
abominate                    |    2 |    1 : 2    | ['execrate', 'loathe'] 
abomination                  |    4 |    1 : 4    | ['abolition', 'monstrous', 'persona', 'unloved'] 
abominations                 |    2 |    1 : 2    | ['horrors', 'mutants'] 
abook                        |    2 |    1 : 2    | ['binder', 'reading'] 
aboriginal                   |    6 |    4 : 1    | ['native'] 
aborigine                    |    2 |    1 : 2    | ['indigenous', 'native'] 
aboriginecheers              |    1 |    1 : 1    | ['native'] 
aborigines                   |    1 |    1 : 1    | ['philippines'] 
abort                        |    7 |    2 : 1    | ['cancel'] 
abortion                     |    8 |    1 : 8    | ['birth', 'choice', 'death', 'flusher', 'no', 'pregnancy', 'sex', 'undesired'] 
abortions                    |    1 |    1 : 1    | ['against'] 
