**********
Total number of connected components: 41948
**********
Word | # Components | Max Degree :# Vertices w/ Max Degree | Word List w/ Max Degree
headaches                    |    4 |    1 : 4    | ['migraines', 'pain', 'symptoms', 'teens'] 
headband                     |    4 |    1 : 4    | ['hippie', 'princess', 'rambo', 'sweat'] 
headbang                     |    2 |    1 : 2    | ['hardcore', 'metal'] 
headcase                     |    1 |    1 : 1    | ['briefcase'] 
headcrab                     |    2 |    1 : 2    | ['bunhead', 'bunk-bead'] 
headdesk                     |    1 |    1 : 1    | ['facepalm'] 
headdress                    |    4 |    1 : 4    | ['centerpiece', 'feathers', 'hat', 'pocahontas'] 
headed                       |    9 |    4 : 1    | ['level'] 
header                       |    2 |    1 : 2    | ['crosses', 'footer'] 
headgear                     |    2 |    1 : 2    | ['cover', 'helmet'] 
headhunter                   |    2 |    1 : 2    | ['bountyhunter', 'head-humper'] 
heading                      |    4 |    1 : 4    | ['direction', 'going', 'looking', 'science'] 
headjob                      |    1 |    1 : 1    | ['napoleon'] 
headless                     |    7 |    3 : 1    | ['horseman'] 
headlights                   |    6 |    1 : 6    | ['bumper', 'car', 'deer', 'fog', 'footlights', 'taillights'] 
headline                     |    7 |    1 : 7    | ['dateline', 'extra', 'news', 'page', 'subject', 'title', 'topic'] 
headliner                    |    3 |    1 : 3    | ['dimension', 'news', 'opener'] 
headlines                    |    6 |    1 : 6    | ['big', 'distorted', 'news', 'newspapers', 'teaser', 'typeset'] 
headlock                     |    2 |    1 : 2    | ['mercy', 'oneiromancer'] 
headmaster                   |    8 |    5 : 1    | ['principal'] 
headmistress                 |    1 |    1 : 1    | ['oh'] 
headphone                    |    2 |    1 : 2    | ['music', 'speaker'] 
headphones                   |   12 |    3 : 1    | ['ear'] 
headquarters                 |    6 |    1 : 6    | ['base', 'hindquarters', 'hive', 'now', 'own', 'strategic'] 
headroom                     |    2 |    2 : 1    | ['max'] 
heads                        |   22 |   11 : 1    | ['tails'] 
headset                      |    4 |    1 : 4    | ['ears', 'handset', 'listen', 'stubborn'] 
headshot                     |    6 |    2 : 1    | ['sniper'] 
headsman                     |    4 |    1 : 4    | ['ax', 'executioneer', 'executioner', 'herdsman'] 
headstone                    |    2 |    1 : 2    | ['grave', 'tile'] 
headstrong                   |    4 |    1 : 4    | ['bull-headed', 'minded', 'mule', 'obstinate'] 
headware                     |    2 |    1 : 2    | ['hats', 'helmet'] 
headway                      |    2 |    1 : 2    | ['progression', 'space'] 
heal                         |   22 |    4 : 1    | ['cure'] 
healed                       |    2 |    1 : 2    | ['hurt', 'wound'] 
healer                       |   13 |    4 : 1    | ['doctor'] 
healers                      |    2 |    1 : 2    | ['clerics', 'medics'] 
healing                      |   47 |    5 : 1    | ['hands'] 
heals                        |    3 |    3 : 1    | ['time'] 
health                       |   76 |   10 : 1    | ['vitality'] 
healthcare                   |    2 |    1 : 2    | ['medicine', 'nurse'] 
healthier                    |    5 |    1 : 5    | ['better', 'cleaner', 'fitter', 'organic', 'weight'] 
healthvault                  |    2 |    1 : 2    | ['fitness', 'microsoft'] 
healthy                      |   75 |   12 : 1    | ['fit'] 
heap                         |   11 |    6 : 1    | ['compost'] 
heaps                        |    2 |    1 : 2    | ['hoard', 'piles'] 
hear                         |   19 |   10 : 1    | ['listen'] 
heard                        |    2 |    1 : 2    | ['flock', 'listen'] 
hearer                       |    2 |    1 : 2    | ['listeners', 'psychiatrist'] 
hearing                      |   29 |    5 : 1    | ['aid'] 
hearings                     |    3 |    1 : 3    | ['congressional', 'due-process', 'kabuki'] 
hearn                        |    2 |    1 : 2    | ['hitman', 'superstar'] 
hears                        |    2 |    1 : 2    | ['ears', 'listens'] 
hearsay                      |   10 |    2 : 1    | ['gossip'] 
hearse                       |   13 |    1 : 13   | ['coffin', 'death', 'deer', 'hers', 'herss', 'hissssss', 'hoarse', 'hole', 'horse', 'mortem', 'mortuary', 'mummer', 'undertaker'] 
heart                        |  193 |   46 : 1    | ['love'] 
heart-felt                   |    2 |    1 : 2    | ['sincere', 'soulful'] 
heart-shaped                 |    2 |    1 : 2    | ['cardioid', 'locket'] 
heartache                    |   13 |    5 : 1    | ['pain'] 
heartbeat                    |    6 |    1 : 6    | ['chest', 'close', 'greengrass', 'monitor', 'police', 'racing'] 
heartbeats                   |    2 |    1 : 2    | ['pqrs', 'run'] 
heartbreak                   |   14 |    3 : 1    | ['pain'] 
heartbreaker                 |    1 |    1 : 1    | ['cheater'] 
heartbreakers                |    3 |    1 : 3    | ['cads', 'movie', 'petty'] 
heartbreaking                |    2 |    1 : 2    | ['bagpipe', 'loss'] 
heartbroken                  |    5 |    2 : 1    | ['love'] 
heartburn                    |   10 |    4 : 1    | ['indigestion'] 
hearted                      |   10 |    2 : 2    | ['kind', 'light'] 
hearten                      |    2 |    1 : 2    | ['encourage', 'urge'] 
heartfelt                    |    4 |    1 : 4    | ['beautiful', 'feelings', 'sincere', 'touching'] 
hearth                       |    9 |    3 : 2    | ['fire', 'home'] 
hearthstone                  |    4 |    1 : 4    | ['blizzard', 'pyromancer', 'thrall', 'wow'] 
heartily                     |    2 |    1 : 2    | ['cheering', 'eat'] 
heartland                    |    5 |    1 : 5    | ['angst', 'beautiful', 'lincoln', 'lone', 'r&h'] 
heartless                    |    3 |    1 : 3    | ['cruel', 'emotionless', 'insensitive'] 
heartmelting                 |    2 |    1 : 2    | ['lovable', 'warmth'] 
hearts                       |   36 |   10 : 1    | ['queen'] 
heartthrob                   |    2 |    1 : 2    | ['desire', 'flame'] 
hearty                       |    8 |    1 : 8    | ['ale', 'circulate', 'livery', 'love', 'lumberjack', 'party', 'resilient', 'stew'] 
heat                         |  110 |   19 : 1    | ['sun'] 
heated                       |   13 |    3 : 1    | ['debate'] 
heater                       |   19 |    2 : 2    | ['cooler', 'furnace'] 
heath                        |    4 |    1 : 4    | ['blast', 'heathers', 'pictland', 'russ'] 
heathen                      |    4 |    1 : 4    | ['atheist', 'ethnic', 'savage', 'uneducated'] 
heather                      |    6 |    1 : 6    | ['grass', 'scunthorpe', 'shmeather', 'small', 'turf', 'weeds'] 
heathers                     |    2 |    1 : 2    | ['fells', 'heath'] 
heathkit                     |    2 |    1 : 2    | ['bronte', 'radio'] 
heating                      |   10 |    3 : 1    | ['element'] 
heatman                      |    2 |    1 : 2    | ['hot', 'megaman'] 
heatseeking                  |    2 |    1 : 2    | ['missile', 'thruster'] 
heatsink                     |    2 |    1 : 2    | ['cooling', 'pipe'] 
heatwave                     |    6 |    1 : 6    | ['humidity', 'hyperthermia', 'inland', 'stroke', 'summer', 'weather'] 
heatwaves                    |    2 |    1 : 2    | ['july', 'tropical'] 
heave                        |    6 |    2 : 2    | ['ho', 'leave'] 
heaved                       |    3 |    2 : 1    | ['tugged'] 
heaven                       |   81 |   30 : 1    | ['hell'] 
heaven's                     |    3 |    2 : 1    | ['gate'] 
heavenly                     |   18 |    2 : 3    | ['bliss', 'father', 'spirit'] 
heavens                      |    5 |    2 : 1    | ['above'] 
heavier                      |    2 |    1 : 2    | ['fat', 'lighter'] 
heaviest                     |    2 |    1 : 2    | ['lightest', 'thickest'] 
heavily                      |    2 |    1 : 2    | ['drinking', 'overweight'] 
heavy                        |   90 |   38 : 1    | ['metal'] 
heavy-hearted                |    2 |    1 : 2    | ['heavy', 'kind-hearted'] 
heavyweight                  |    6 |    2 : 1    | ['boxer'] 
heavywieght                  |    1 |    1 : 1    | ['fights'] 
hebdo                        |    2 |    1 : 2    | ['charlie', 'inconceivable'] 
hebrew                       |    4 |    2 : 1    | ['jewish'] 
heck                         |    4 |    1 : 4    | ['hades', 'heavens', 'steven', 'urban'] 
heckle                       |    2 |    1 : 2    | ['comedian', 'test'] 
heckling                     |    2 |    1 : 2    | ['annoying', 'bullying'] 
hectare                      |    2 |    1 : 2    | ['area', 'hector'] 
hectic                       |    2 |    1 : 2    | ['busy', 'frantic'] 
hectogram                    |    2 |    1 : 2    | ['polygon', 'shapes'] 
hectoliter                   |    2 |    1 : 2    | ['gallon', 'thirsty'] 
hector                       |    4 |    1 : 4    | ['hectare', 'paris', 'uncle', 'vector'] 
hedge                        |   15 |    4 : 1    | ['fund'] 
hedge-sparrow                |    2 |    1 : 2    | ['macrocarpa', 'sparrows'] 
hedgefonds                   |    2 |    1 : 2    | ['hedgehog', 'pleonexia'] 
hedgehog                     |   26 |    6 : 1    | ['sonic'] 
hedgehogs                    |    3 |    1 : 3    | ['chipmunks', 'hedgehog', 'jump'] 
hedgerow                     |    2 |    1 : 2    | ['bushy', 'plants'] 
hedgerows                    |    2 |    1 : 2    | ['bocage', 'fields'] 
hedges                       |    9 |    3 : 1    | ['trim'] 
hedonism                     |    5 |    2 : 1    | ['pleasure'] 
hedonist                     |    2 |    1 : 2    | ['pleasure', 'what'] 
hedonistic                   |    4 |    1 : 4    | ['anhedonic', 'pleasure', 'pyromaniac', 'self'] 
heebiejeebie                 |    2 |    1 : 2    | ['shivers', 'warning'] 
heed                         |    2 |    1 : 2    | ['beware', 'note'] 
heedless                     |    2 |    1 : 2    | ['careless', 'miss'] 
heeeelllllppppp              |    2 |    1 : 2    | ['doh', 'pfffffffffftttttttttttttt'] 
heeeeyy                      |    1 |    1 : 1    | ['teens'] 
heehee                       |    1 |    1 : 1    | ['haha'] 
heel                         |   22 |    4 : 1    | ['face'] 
heels                        |   18 |    4 : 2    | ['high', 'shoes'] 
heffalump                    |    3 |    1 : 3    | ['eeyore', 'fictional', 'oliphant'] 
heffer                       |    2 |    1 : 2    | ['calf', 'cow'] 
heffner                      |    2 |    1 : 2    | ['hue', 'playboy'] 
heffron                      |    2 |    1 : 2    | ['babe', 'chevron'] 
hefner                       |    2 |    1 : 2    | ['geezer', 'money'] 
heft                         |    2 |    1 : 2    | ['big', 'girth'] 
hefty                        |    4 |    1 : 4    | ['fat', 'loaded', 'stout', 'sturdy'] 
hegemony                     |    3 |    1 : 3    | ['empire', 'greek', 'powerful'] 
heh                          |    2 |    1 : 2    | ['garden', 'pinot'] 
hehe                         |   11 |    1 : 11   | ['dog-collar', 'fiver', 'giraffe', 'he', 'jelly', 'lol', 'metatarsal', 'pad', 'pencil', 'sword', 'vapor'] 
hehebleep                    |    1 |    1 : 1    | ['swear'] 
hehehe                       |    3 |    1 : 3    | ['funny', 'sweep', 'wombles'] 
hehehehehedogs               |    2 |    1 : 2    | ['cats', 'korean'] 
heifer                       |    2 |    1 : 2    | ['bull', 'childless'] 
height                       |   29 |    5 : 2    | ['weight', 'width'] 
heighten                     |    2 |    1 : 2    | ['increase', 'rise'] 
heightened                   |    2 |    1 : 2    | ['aloft', 'shortened'] 
heights                      |   10 |    1 : 10   | ['7000', 'acrophobia', 'adrenaline', 'fear', 'hoisting', 'peaks', 'phobia', 'rocks', 'vertigo', 'wuthering'] 
heil                         |    2 |    1 : 2    | ['hail', 'sikh'] 
heimdall                     |    3 |    1 : 3    | ['comical', 'heimlich', 'sight'] 
heimlich                     |    5 |    2 : 1    | ['choke'] 
heineken                     |    2 |    1 : 2    | ['holland', 'light'] 
heinekin                     |    1 |    1 : 1    | ['budweiser'] 
heinlein                     |    1 |    1 : 1    | ['sci-fi'] 
heinous                      |    2 |    1 : 2    | ['bad', 'crime'] 
heinz                        |    5 |    2 : 1    | ['ketchup'] 
heir                         |   13 |    2 : 2    | ['son', 'throne'] 
heirarchy                    |    2 |    1 : 2    | ['need', 'rank'] 
heiress                      |    2 |    1 : 2    | ['fortune', 'paris'] 
heirloom                     |    6 |    1 : 6    | ['antique', 'cherish', 'heirs', 'keepsake', 'legacy', 'priceless'] 
heiroglyphs                  |    2 |    1 : 2    | ['petroglyphs', 'written'] 
heirs                        |    6 |    1 : 6    | ['family', 'heirloom', 'inheritance', 'inheritors', 'predecessors', 'testament'] 
heisenberg                   |    2 |    1 : 2    | ['cook', 'uncertainty'] 
heisman                      |    2 |    1 : 2    | ['bronze', 'trophy'] 
heissman                     |    1 |    1 : 1    | ['trophy'] 
heist                        |   13 |    3 : 2    | ['loot', 'robbery'] 
hekner                       |    4 |    1 : 4    | ['geneva', 'leo', 'vanilla', 'vocabulary'] 
hel                          |    4 |    1 : 4    | ['death', 'hal', 'hell', 'underworld'] 
held                         |   13 |    2 : 3    | ['caught', 'detained', 'hold'] 
helen                        |    4 |    1 : 4    | ['helena', 'hunt', 'paris', 'troy'] 
helena                       |    2 |    1 : 2    | ['chair', 'helen'] 
helicobacter                 |    2 |    1 : 2    | ['helicopter', 'heliopolis'] 
helicopter                   |   38 |    4 : 2    | ['apache', 'chopper'] 
helicopters                  |    6 |    1 : 6    | ['airplanes', 'awesome', 'conspiracy', 'dragonfly', 'landing', 'plains'] 
heliocentric                 |    1 |    1 : 1    | ['copernicus'] 
heliopolis                   |    2 |    1 : 2    | ['helicobacter', 'obelisk'] 
heliport                     |    2 |    1 : 2    | ['airport', 'haven'] 
helium                       |   25 |   12 : 1    | ['balloon'] 
helius                       |    2 |    1 : 2    | ['orpheus', 'sol'] 
helix                        |    4 |    2 : 2    | ['double', 'spiral'] 
hell                         |  118 |   30 : 1    | ['heaven'] 
hell's                       |    2 |    1 : 2    | ['joy', 'kitchen'] 
hellbound                    |    2 |    1 : 2    | ['direction', 'indecision'] 
hellboy                      |    3 |    1 : 3    | ['hellraiser', 'movies', 'strong'] 
hellebaut                    |    1 |    1 : 1    | ['jump'] 
hellhound                    |    2 |    1 : 2    | ['bloodhound', 'devilbred'] 
hellish                      |    2 |    1 : 2    | ['familiar', 'heavenly'] 
hellmans                     |    2 |    1 : 2    | ['hillmans', 'hollandaise'] 
hellno                       |    1 |    1 : 1    | ['heaven'] 
hello                        |   48 |   12 : 1    | ['goodbye'] 
helloween                    |    2 |    1 : 2    | ['eve', 'festival'] 
hellraiser                   |    3 |    1 : 3    | ['chain', 'hellboy', 'skyjacker'] 
hells                        |    2 |    1 : 2    | ['bells', 'earth'] 
hellsing                     |    1 |    1 : 1    | ['anime'] 
hellworld                    |    1 |    1 : 1    | ['planet'] 
helm                         |    3 |    1 : 3    | ['port', 'ship', 'sulu'] 
helment                      |    2 |    1 : 2    | ['hardhat', 'safety'] 
helmet                       |   44 |    5 : 1    | ['head'] 
helmets                      |    2 |    1 : 2    | ['people', 'space'] 
helmsman                     |    2 |    1 : 2    | ['rector', 'warp'] 
helmut                       |    5 |    2 : 1    | ['schmidt'] 
help                         |   71 |   17 : 1    | ['aid'] 
helped                       |    4 |    1 : 4    | ['abetted', 'aided', 'assisted', 'facilitated'] 
helper                       |   17 |    4 : 1    | ['assistant'] 
helpers                      |    8 |    2 : 1    | ['santa'] 
helpful                      |   13 |    2 : 1    | ['kind'] 
helping                      |   13 |    2 : 1    | ['assist'] 
helpings                     |    2 |    1 : 2    | ['second', 'yourself'] 
helpless                     |   11 |    1 : 11   | ['damsel', 'eviction', 'forsaken', 'hapless', 'homeless', 'hopeless', 'obsessive', 'powerless', 'refusing', 'vulnerable', 'weak'] 
helplessness                 |    4 |    1 : 4    | ['hopelessness', 'infant', 'learned', 'sadness'] 
helpline                     |    2 |    1 : 2    | ['necklace', 'support'] 
helps                        |    4 |    1 : 4    | ['aids', 'hinders', 'plural', 'quitting'] 
helsinki                     |    2 |    2 : 1    | ['finland'] 
helvetica                    |    2 |    2 : 1    | ['switzerland'] 
hem                          |    4 |    1 : 4    | ['jackson', 'needle', 'skirt', 'tail'] 
hematologist                 |    2 |    1 : 2    | ['hemophilia', 'hospital'] 
hematology                   |    2 |    1 : 2    | ['blood', 'hematophagy'] 
hematoma                     |    1 |    1 : 1    | ['bump'] 
hematophagy                  |    2 |    1 : 2    | ['hematology', 'zombie'] 
hemeroids                    |    1 |    1 : 1    | ['eww'] 
hemi                         |    2 |    1 : 2    | ['engine', 'shere'] 
hemisphere                   |    9 |    2 : 1    | ['southern'] 
hemispheres                  |    2 |    1 : 2    | ['rush', 'south'] 
hemlock                      |    5 |    1 : 5    | ['deadly', 'padlock', 'poison', 'socrates', 'them'] 
hemming                      |    2 |    1 : 2    | ['crowding', 'gathering'] 
hemoglobin                   |    4 |    3 : 1    | ['blood'] 
hemoglobine                  |    1 |    1 : 1    | ['blood'] 
hemoglobins                  |    2 |    1 : 2    | ['blood', 'oxygen'] 
hemophilia                   |    9 |    2 : 1    | ['blood'] 
hemophobia                   |    4 |    1 : 4    | ['blood', 'faint', 'fear', 'hemophilia'] 
hemorhoids                   |    2 |    1 : 2    | ['asteroids', 'cancer'] 
hemorraged                   |    2 |    1 : 2    | ['club', 'haemophilia'] 
hemorrhage                   |    2 |    1 : 2    | ['blood', 'cerebral'] 
hemorrhoid                   |    4 |    1 : 4    | ['asteroids', 'pile', 'pop', 'spheroid'] 
hemorrhoids                  |    2 |    1 : 2    | ['asteroids', 'ointment'] 
hemostat                     |    2 |    1 : 2    | ['clamp', 'thermostat'] 
hemp                         |    8 |    4 : 1    | ['rope'] 
hen                          |   28 |    5 : 4    | ['egg', 'mother', 'party', 'rooster'] 
hence                        |    7 |    2 : 1    | ['because'] 
hench                        |    2 |    1 : 2    | ['buff', 'french'] 
henchman                     |    6 |    1 : 6    | ['ally', 'apocalypse', 'assistant', 'criminal', 'minion', 'packmule'] 
henchmen                     |    1 |    1 : 1    | ['posse'] 
hendersons                   |    2 |    1 : 2    | ['city', 'hairy'] 
hendrix                      |    9 |    3 : 1    | ['woodstock'] 
henge                        |    9 |    6 : 1    | ['stone'] 
henley                       |    1 |    1 : 1    | ['regatta'] 
henna                        |    1 |    1 : 1    | ['tattoos'] 
henpeck                      |    2 |    1 : 2    | ['control', 'nag'] 
henry                        |   19 |    5 : 1    | ['ford'] 
hens                         |    9 |    3 : 1    | ['eggs'] 
henschel                     |    4 |    1 : 4    | ['fez', 'germany', 'tank', 'transportation'] 
hentai                       |   14 |    4 : 2    | ['anime', 'manga'] 
hep                          |    1 |    1 : 1    | ['cowboy'] 
hepatitis                    |    4 |    1 : 4    | ['b', 'health', 'scan', 'test'] 
hepburn                      |    2 |    1 : 2    | ['pixie', 'springs'] 
hephaestus                   |    5 |    1 : 5    | ['artisan', 'horrorday', 'project', 'vulcan', 'vulcans'] 
heptagram                    |    2 |    1 : 2    | ['pentagram', 'telegram'] 
heptatonic                   |    1 |    1 : 1    | ['scale'] 
her                          |   17 |    4 : 1    | ['him'] 
hera                         |    4 |    1 : 4    | ['goddess', 'gods', 'greek', 'zeus'] 
heracles                     |    1 |    1 : 1    | ['glasses'] 
herald                       |    4 |    1 : 4    | ['announce', 'apocalypse', 'harold', 'message'] 
heraldic                     |    2 |    1 : 2    | ['sergeant', 'symbols'] 
heraldry                     |    3 |    1 : 3    | ['chevron', 'insignia', 'valknut'] 
herb                         |   33 |    5 : 1    | ['spice'] 
herbal                       |   13 |    5 : 1    | ['remedy'] 
herbalist                    |    2 |    1 : 2    | ['druid', 'shaman'] 
herbert                      |    1 |    1 : 1    | ['flack'] 
herbicide                    |    5 |    1 : 5    | ['glyphosate', 'organic', 'poison', 'toxic', 'weed'] 
herbicides                   |    3 |    2 : 1    | ['pesticides'] 
herbie                       |   10 |    1 : 10   | ['bananas', 'beetle', 'bert', 'car', 'hancock', 'herb', 'hide', 'hockey', 'volkswagen', 'volkswagon'] 
herbies                      |    2 |    1 : 2    | ['hungry', "vw's"] 
herbiviore                   |    2 |    1 : 2    | ['hyracoidea', 'palynivores'] 
herbivore                    |    8 |    2 : 2    | ['cattle', 'vegetables'] 
herbs                        |   21 |    3 : 1    | ['thyme'] 
herby                        |    1 |    1 : 1    | ['interstate'] 
hercule                      |    2 |    1 : 2    | ['hyrule', 'pumba'] 
hercules                     |   10 |    1 : 10   | ['athletic', 'cerberus', 'greece', 'greek', 'labours', 'muscles', 'odin', 'seville', 'talos', 'xena'] 
herd                         |   17 |    6 : 1    | ['cattle'] 
herdle                       |    2 |    1 : 2    | ['gate', 'sheep'] 
herdsman                     |    2 |    1 : 2    | ['headsman', 'killer'] 
here                         |   31 |   20 : 1    | ['there'] 
here-say                     |    1 |    1 : 1    | ['gossip'] 
hereafter                    |    2 |    1 : 2    | ['secret', 'spies'] 
hereditary                   |    2 |    1 : 2    | ['congenital', 'features'] 
heredity                     |    4 |    1 : 4    | ['gene', 'genetics', 'lineage', 'title'] 
hereford                     |    2 |    1 : 2    | ['cow', 'united'] 
heresy                       |    5 |    1 : 5    | ['albigensian', 'cult', 'duchess', 'horus', 'zealot'] 
heretic                      |    9 |    2 : 1    | ['inquisition'] 
heretics                     |    4 |    1 : 4    | ['darwin', 'monotheism', 'religion', 'witches'] 
heretofore                   |    2 |    1 : 2    | ['ago', 'formerly'] 
hering                       |    2 |    1 : 2    | ['fish', 'golden'] 
heritage                     |   15 |    2 : 1    | ['lineage'] 
hermaphrodite                |    6 |    1 : 6    | ['gender', 'girl', 'human', 'lesbian', 'pat', 'seahorse'] 
hermeneutic                  |    2 |    1 : 2    | ['means', 'showoff'] 
hermes                       |    2 |    2 : 1    | ['messenger'] 
hermie                       |    1 |    1 : 1    | ['elf'] 
hermine                      |    2 |    1 : 2    | ['leo', 'strudel'] 
hermione                     |    3 |    1 : 3    | ['books', 'expel', 'hormone'] 
hermiony                     |    2 |    1 : 2    | ['muggle', 'smart'] 
hermit                       |   18 |    6 : 1    | ['crab'] 
hermitage                    |    2 |    1 : 2    | ['heritage', 'lonely'] 
hermitcrabs                  |    2 |    1 : 2    | ['crustaceans', 'sand'] 
hernia                       |    6 |    1 : 6    | ['ball-ache', 'lifting', 'muscle', 'pain', 'rupture', 'truss'] 
hero                         |   80 |   12 : 1    | ['superman'] 
heroes                       |   24 |    3 : 1    | ['super'] 
heroin                       |   16 |    3 : 3    | ['addict', 'addiction', 'drugs'] 
heroine                      |   10 |    4 : 1    | ['hero'] 
heron                        |    2 |    1 : 2    | ['fish', 'pond'] 
heros                        |    2 |    1 : 2    | ['ministry', 'spitfire'] 
herpes                       |    7 |    1 : 7    | ['aids', 'contagious', 'crabs', 'cumulative', 'cure', 'itch', 'stds'] 
herple                       |    2 |    1 : 2    | ['square', 'ventriloquist'] 
herr                         |    5 |    1 : 5    | ['heir', 'lip', 'ryan', 'schmidt', 'title'] 
herring                      |   15 |    7 : 1    | ['red'] 
herringbone                  |    2 |    1 : 2    | ['rollmops', 'tweed'] 
herrr-mi-o-ne                |    1 |    1 : 1    | ['dumbledore'] 
hers                         |    4 |    3 : 1    | ['his'] 
herself                      |    4 |    1 : 4    | ['criminals', 'himself', 'myself', 'sheself'] 
hershey                      |    7 |    3 : 1    | ['pennsylvania'] 
hershey's                    |    2 |    2 : 1    | ['kiss'] 
hersheys                     |    3 |    2 : 1    | ['chocolate'] 
herss                        |    2 |    1 : 2    | ['hearse', 'hiss'] 
hertz                        |    8 |    2 : 2    | ['frequency', 'rental'] 
hesitance                    |    2 |    1 : 2    | ['loss', 'stutter'] 
hesitant                     |    6 |    1 : 6    | ['fear', 'flip-flop', 'indecisive', 'nervous', 'shilly-shally', 'wary'] 
hesitate                     |    9 |    1 : 9    | ['cogitate', 'dare', 'flinch', 'indecision', 'pause', 'procrastinate', 'reticent', 'uncertain', 'vacillate'] 
hesitates                    |    2 |    1 : 2    | ['pauses', 'stammers'] 
hesitation                   |    6 |    1 : 6    | ['delay', 'doubt', 'elevation', 'restraint', 'stutter', 'um'] 
hess                         |    2 |    1 : 2    | ['rudolf', 'ton'] 
hetero                       |    1 |    1 : 1    | ['inclination'] 
heteroclite                  |    2 |    1 : 2    | ['atypical', 'unconventional'] 
heterosexual                 |    2 |    2 : 2    | ['bisexual', 'homosexual'] 
heterosexuals                |    2 |    1 : 2    | ['homosexuals', 'metrosexuals'] 
hetrosexual                  |    2 |    1 : 2    | ['front', 'vulgarity'] 
heuristic                    |    1 |    1 : 1    | ['learn'] 
heuristics                   |    2 |    1 : 2    | ['encryption', 'inference'] 
hewer                        |    1 |    1 : 1    | ['minecraft'] 
hewitt                       |    2 |    1 : 2    | ['chewits', 'tennis'] 
hewn                         |    2 |    1 : 2    | ['rough', 'sewn'] 
hewson                       |    4 |    1 : 4    | ['360', 'bob', 'bono', 'paul'] 
hex                          |    5 |    1 : 5    | ['desecrate', 'donut', 'grid', 'tile', 'witch'] 
hexadecimal                  |    3 |    2 : 1    | ['binary'] 
hexagon                      |    7 |    2 : 2    | ['pentagon', 'square'] 
hexagoned                    |    2 |    1 : 2    | ['muppets', 'triangled'] 
hexakosioihexekontahexaphobia |    1 |    1 : 1    | ['christianity'] 
hexameter                    |    2 |    1 : 2    | ['apydia', 'feet'] 
hexane                       |    2 |    1 : 2    | ['hexagon', 'methane'] 
hexen                        |    1 |    1 : 1    | ['quake'] 
hexes                        |    2 |    1 : 2    | ['voodoo', 'wand'] 
hey                          |   26 |    3 : 2    | ['arnold', 'you'] 
heyday                       |    2 |    1 : 2    | ['apex', 'hay'] 
heyerdahl                    |    2 |    1 : 2    | ['ra', 'thor'] 
heyoka                       |    2 |    1 : 2    | ['tricked', 'wolves'] 
heywood                      |    5 |    1 : 5    | ['fatlazyuselesscuntofawanker', 'hopeless', 'speed', 'titanic', 'useless'] 
hgv                          |    4 |    1 : 4    | ['car', 'licence', 'truck', 'truckers'] 
hhh                          |    2 |    1 : 2    | ['tbf', 'wwe'] 
hi                           |   26 |    6 : 1    | ['hello'] 
hi-de-hi                     |    2 |    1 : 2    | ['butlins', 'hi-de-ho'] 
hi-de-ho                     |    1 |    1 : 1    | ['hi-de-hi'] 
hi-jack                      |    2 |    1 : 2    | ['blackjack', 'flapjack'] 
hi-jinx                      |    2 |    1 : 2    | ['antics', 'monkeyshines'] 
hiawatha                     |    1 |    1 : 1    | ['song'] 
hibachi                      |    2 |    1 : 2    | ['grill', 'vivace'] 
hibernate                    |    4 |    1 : 4    | ['gestate', 'rest', 'slumber', 'ursine'] 
hibernating                  |    2 |    1 : 2    | ['bears', 'dormant'] 
hibernation                  |    5 |    1 : 5    | ['aestivation', 'awakening', 'bear', 'siesta', 'torpor'] 
hibernia                     |    2 |    1 : 2    | ['caledonia', 'ire'] 
hic                          |    5 |    1 : 5    | ['alcohol', 'goodbye', 'hiccups', 'shock', 'up'] 
hic-up                       |    1 |    1 : 1    | ['mudded'] 
hiccup                       |    4 |    1 : 4    | ['failure', 'remedy', 'setback', 'sigh'] 
hiccups                      |    3 |    2 : 1    | ['burp'] 
hick                         |    5 |    2 : 1    | ['south'] 
hickating                    |    2 |    1 : 2    | ['appraising', 'evaluating'] 
hickery                      |    5 |    2 : 1    | ['mould'] 
hickey                       |    4 |    1 : 4    | ['gross', 'impure', 'neck', 'pinch'] 
hicking                      |    2 |    1 : 2    | ['calculating', 'gauging'] 
hickoracity                  |    1 |    1 : 1    | ['vivacity'] 
hickoral                     |    3 |    2 : 1    | ['cerebral'] 
hickorami                    |    2 |    1 : 2    | ['salami', 'spicy'] 
hickorary                    |    2 |    1 : 2    | ['arbitrary', 'random'] 
hickoreum                    |    1 |    1 : 1    | ['museum'] 
hickoricity                  |    2 |    2 : 2    | ['intercity', 'multiplicity'] 
hickoriel                    |    1 |    1 : 1    | ['tempest'] 
hickorify                    |    2 |    1 : 2    | ['horrify', 'scare'] 
hickorin                     |    1 |    2 : 1    | ['sit-in'] 
hickoring                    |   12 |    6 : 1    | ['quaffing'] 
hickorings                   |    2 |    1 : 2    | ['family', 'siblings'] 
hickorism                    |    5 |    2 : 1    | ['torture'] 
hickorlicious                |    2 |    1 : 2    | ['ostentatious', 'pretentious'] 
hickornary                   |    2 |    1 : 2    | ['revolutionary', 'visionary'] 
hickoroid                    |    1 |    2 : 1    | ['android'] 
hickorology                  |    2 |    1 : 2    | ['cult', 'scientology'] 
hickorom                     |    2 |    1 : 2    | ['aimless', 'random'] 
hickoroni                    |    2 |    1 : 2    | ['pepperoni', 'sausage'] 
hickorus                     |    1 |    2 : 1    | ['icarus'] 
